Vardas              Pavarde             ND1    Egz    
Viltautas           Jankauskas          6      7      
Vilenas             Jankauskas          9      5      
Marcelinas          Sakalauskas         4      5      
Santaras            Vasiliauskas        5      5      
Mintaras            Pocius              9      3      
Napalis             Butkus              10     1      
Neivydas            Paulauskas          10     7      
Liudvigas           Pocius              3      1      
Zigfridas           Urbonas             8      5      
Georgijus           Kavaliauskas        7      3      
Deimantas           Pocius              5      2      
Gustas              Petrauskas          1      7      
Kondratas           Vasiliauskas        3      3      
Nerimantas          Urbonas             4      8      
Haris               Jankauskas          3      3      
Elmantas            Pocius              5      8      
Mateusas            Petrauskas          2      6      
Jaroslavas          Paulauskas          10     10     
Valdemaras          Kavaliauskas        5      9      
Juozas              Sakalauskas         2      5      
